Distribución de Material Didáctico Adquirido de Cultura del Agua 2025 (Recurso Federal),,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
ACCIÓN:,,"ProgramaE005 Capacitación Ambiental y Desarrollo 
Sustentable en relación a las acciones de Cultura del Agua
(Material Didáctico Adquirido de Cultura del Agua)",,,,,,,,
No.,DESCRIPCIÓN,CANTIDAD,MARCA,MODELO,NO. DE SERIE,COLOR,MATERIAL,BENEFICIARIO,No. de Inventario,Monto de Inversión
13,GAFAS DE REALIDAD VIRTUAL 3D PARA IPHONE SAMSUNG XIAOMI SMARTPHONES FOV 120 GRADOS VR STEREO BOX.,1,Sin Marca,Sin modelo,Sin número de serie,Negro,Plástico,Presidencia Municipal de Juárez Hidalgo,GAFAS 3D-25-13," $1,506.84 "
14,GAFAS DE REALIDAD VIRTUAL 3D PARA IPHONE SAMSUNG XIAOMI SMARTPHONES FOV 120 GRADOS VR STEREO BOX.,1,Sin Marca,Sin modelo,Sin número de serie,Negro,Plástico,Presidencia Municipal de La Misión,GAFAS 3D-25-14," $1,506.84 "
15,GAFAS DE REALIDAD VIRTUAL 3D PARA IPHONE SAMSUNG XIAOMI SMARTPHONES FOV 120 GRADOS VR STEREO BOX.,1,Sin Marca,Sin modelo,Sin número de serie,Negro,Plástico,Presidencia Municipal de Lolotla,GAFAS 3D-25-15," $1,506.84 "
16,GAFAS DE REALIDAD VIRTUAL 3D PARA IPHONE SAMSUNG XIAOMI SMARTPHONES FOV 120 GRADOS VR STEREO BOX.,1,Sin Marca,Sin modelo,Sin número de serie,Negro,Plástico,Presidencia Municipal de Metepec,GAFAS 3D-25-16," $1,506.84 "
17,GAFAS DE REALIDAD VIRTUAL 3D PARA IPHONE SAMSUNG XIAOMI SMARTPHONES FOV 120 GRADOS VR STEREO BOX.,1,Sin Marca,Sin modelo,Sin número de serie,Negro,Plástico,Presidencia Municipal de Mineral del Monte,GAFAS 3D-25-17," $1,506.84 "
18,GAFAS DE REALIDAD VIRTUAL 3D PARA IPHONE SAMSUNG XIAOMI SMARTPHONES FOV 120 GRADOS VR STEREO BOX.,1,Sin Marca,Sin modelo,Sin número de serie,Negro,Plástico,"Comisión de Agua y Alcantarillado del Municipio de Mixquiahuala de Juárez, Hgo",GAFAS 3D-25-18," $1,506.84 "
19,GAFAS DE REALIDAD VIRTUAL 3D PARA IPHONE SAMSUNG XIAOMI SMARTPHONES FOV 120 GRADOS VR STEREO BOX.,1,Sin Marca,Sin modelo,Sin número de serie,Negro,Plástico,Presidencia Municipal de Molango de Escamilla,GAFAS 3D-25-19," $1,506.84 "
20,GAFAS DE REALIDAD VIRTUAL 3D PARA IPHONE SAMSUNG XIAOMI SMARTPHONES FOV 120 GRADOS VR STEREO BOX.,1,Sin Marca,Sin modelo,Sin número de serie,Negro,Plástico,Presidencia Municipal de Nicolás Flores,GAFAS 3D-25-20," $1,506.84 "
21,GAFAS DE REALIDAD VIRTUAL 3D PARA IPHONE SAMSUNG XIAOMI SMARTPHONES FOV 120 GRADOS VR STEREO BOX.,1,Sin Marca,Sin modelo,Sin número de serie,Negro,Plástico,Zempoala Acueducto del Padre Tembleque,GAFAS 3D-25-21," $1,506.84 "
22,GAFAS DE REALIDAD VIRTUAL 3D PARA IPHONE SAMSUNG XIAOMI SMARTPHONES FOV 120 GRADOS VR STEREO BOX.,1,Sin Marca,Sin modelo,Sin número de serie,Negro,Plástico,Presidencia Municipal de Pisaflores,GAFAS 3D-25-22," $1,506.84 "
